Dependency=Cooling Unavailable Days	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Option=1 day	Option=1 month	Option=1 week	Option=2 weeks	Option=3 days	Option=3 months	Option=Never	Option=Year round	source_count	source_weight	fallback_count	fallback_weight
1 day	300-400%	Multi-Family with 5+ Units	0.0246585	0	0	0	0.0246585	0	0.950683	0	2	21313.8	11	44885.8
1 month	300-400%	Multi-Family with 5+ Units	0	0.0119216	0.0217162	0.0805179	0	0.0546988	0.824448	0.00669781	2	6905.08	13	64118.5
1 week	300-400%	Multi-Family with 5+ Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	2	4855.99	12	43928.6
2 weeks	300-400%	Multi-Family with 5+ Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	0	0	12	43928.6
3 days	300-400%	Multi-Family with 5+ Units	9.15193e-05	0	0	0	9.15193e-05	0	0.999817	0	4	25214	11	39991.6
3 months	300-400%	Multi-Family with 5+ Units	0	0.00760686	0.0277131	0.0860179	0	0.219998	0.637839	0.0208255	3	17313.9	21	100487
Never	300-400%	Multi-Family with 5+ Units	0	0	0	0	0	0	1	0	367	2.47689e+06	367	2.47689e+06
Year round	300-400%	Multi-Family with 5+ Units	0.00302372	0.00114295	0.00306263	0.0025049	0.00272721	0.00366271	0.983441	0.000434971	2	2795.02	1397	8.31687e+06
1 day	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	2	8580.54	1311	9.96946e+06
1 month	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	5	32723.3	1311	9.96946e+06
1 week	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	3	3239.55	1311	9.96946e+06
2 weeks	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	2	15827.9	1311	9.96946e+06
3 days	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	5	42516.6	1311	9.96946e+06
3 months	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	2	1650.93	1311	9.96946e+06
Never	400%+	Multi-Family with 5+ Units	0.000893993	0.00276598	0.000867008	0	0.00145936	0.00200301	0.991491	0.000519364	1026	7.90151e+06	1026	7.90151e+06
Year round	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	2	2770.83	1311	9.96946e+06
1 day	Not Available	Multi-Family with 5+ Units	0.527402	0	0	0	0.0671858	0	0.405413	0	16	155614	16	155614
1 month	Not Available	Multi-Family with 5+ Units	0	0	0.0565215	0.0251301	0.00249337	0.0253191	0.887436	0.0031003	25	138520	25	138520
1 week	Not Available	Multi-Family with 5+ Units	0.0593367	0.00747099	0.110365	0.0124516	0.221912	0	0.588464	0	24	142056	24	142056
2 weeks	Not Available	Multi-Family with 5+ Units	0.011838	0.0186632	0.124626	0.0311053	0.0538695	0.0411168	0.713747	0.00503471	20	142164	20	142164
3 days	Not Available	Multi-Family with 5+ Units	0.111461	0	0.0267806	0	0.191589	0	0.67017	0	28	195360	28	195360
3 months	Not Available	Multi-Family with 5+ Units	0	0	0.0188008	0.0470021	0	0.0296902	0.890063	0.0144439	11	74061	11	74061
Never	Not Available	Multi-Family with 5+ Units	0.00405133	0.00186626	0.00150463	0.00140824	0.00394883	0.0012687	0.985006	0.000945799	2356	2.1958e+07	2356	2.1958e+07
Year round	Not Available	Multi-Family with 5+ Units	0	0.0200501	0	0.300752	0	0.0759595	0.579662	0.0235762	5	30088.1	10	63165.1
1 day	0-100%	Single-Family Attached	0.285826	0	0	0	0.0623107	0.0659944	0.541873	0.0439963	3	13520.7	11	26180.6
1 month	0-100%	Single-Family Attached	0.0106736	0.0402673	0.0805212	0	0.0643629	0.0430444	0.761131	0	13	35813.2	13	35813.2
1 week	0-100%	Single-Family Attached	0.06998	0	0.286505	0	0.539082	0	0.104433	0	6	10946.2	16	39952.2
2 weeks	0-100%	Single-Family Attached	0.0566609	0.0305864	0.0609492	0.0509773	0.256194	0	0.544633	0	7	14573.6	18	31236.2
3 days	0-100%	Single-Family Attached	0.0550183	0	0.235027	0	0.178834	0	0.531121	0	4	6099.94	15	28963.6
3 months	0-100%	Single-Family Attached	0.117127	0.0329407	0.0652548	0	0.0483642	0.0957776	0.617824	0.0227119	7	10303.4	11	14592.9
Never	0-100%	Single-Family Attached	0.00546119	0.00229355	0.00515227	0.00519015	0.00742384	0.000834019	0.973645	0	195	837167	195	837167
Year round	0-100%	Single-Family Attached	0.000607317	0	0	0	0.000607317	0.245025	0.345571	0.408189	1	3214.67	26	103139
1 day	100-150%	Single-Family Attached	0.285826	0	0	0	0.0623107	0.0659944	0.541873	0.0439963	4	6531.54	11	26180.6
1 month	100-150%	Single-Family Attached	0.0948561	0.0240654	0	0.040109	0	0	0.84097	0	8	15192.7	14	23820.2
1 week	100-150%	Single-Family Attached	0.058386	0	0.357441	0	0.465211	0	0.118962	0	7	22056	10	29006
2 weeks	100-150%	Single-Family Attached	0.0762278	0.0573379	0.0515669	0.0955631	0.127795	0	0.59151	0	6	5904.43	11	16662.7
3 days	100-150%	Single-Family Attached	0	0	0.281379	0	0.140496	0	0.578124	0	8	18516	11	22863.6
3 months	100-150%	Single-Family Attached	0.117127	0.0329407	0.0652548	0	0.0483642	0.0957776	0.617824	0.0227119	2	2761.47	11	14592.9
Never	100-150%	Single-Family Attached	0	0	0.00226935	0	0.0308387	0	0.966892	0	183	559315	183	559315
Year round	100-150%	Single-Family Attached	0.000607317	0	0	0	0.000607317	0.245025	0.345571	0.408189	0	0	26	103139
1 day	150-200%	Single-Family Attached	0.285826	0	0	0	0.0623107	0.0659944	0.541873	0.0439963	4	6128.34	11	26180.6
1 month	150-200%	Single-Family Attached	0.0948561	0.0240654	0	0.040109	0	0	0.84097	0	6	8627.43	14	23820.2
1 week	150-200%	Single-Family Attached	0.058386	0	0.357441	0	0.465211	0	0.118962	0	3	6950.06	10	29006
2 weeks	150-200%	Single-Family Attached	0.0762278	0.0573379	0.0515669	0.0955631	0.127795	0	0.59151	0	5	10758.2	11	16662.7
3 days	150-200%	Single-Family Attached	0	0	0.281379	0	0.140496	0	0.578124	0	3	4347.66	11	22863.6
3 months	150-200%	Single-Family Attached	0.117127	0.0329407	0.0652548	0	0.0483642	0.0957776	0.617824	0.0227119	2	1528.03	11	14592.9
Never	150-200%	Single-Family Attached	0.00225407	0.00208541	0.00568518	0.0131273	0.0119527	0.00121026	0.963685	0	202	495797	202	495797
Year round	150-200%	Single-Family Attached	0.000607317	0	0	0	0.000607317	0.245025	0.345571	0.408189	1	148.807	26	103139
1 day	200-300%	Single-Family Attached	0.166533	0	0	0	0.166533	0.106373	0.546552	0.014008	7	8981.59	12	17559.2
1 month	200-300%	Single-Family Attached	0.0775488	0.0473428	0.0695034	0.111636	0.056509	0.0535184	0.581741	0.00220007	7	15580.4	87	244460
1 week	200-300%	Single-Family Attached	0.109694	0.0312377	0.0440913	0.0361331	0.168194	0	0.610649	0	4	4124.99	76	207153
2 weeks	200-300%	Single-Family Attached	0.0631133	0.0398451	0.0741655	0.0390977	0.101249	0.0404093	0.637739	0.00438086	7	8051.79	56	132115
3 days	200-300%	Single-Family Attached	0.141617	0	0	0	0.100422	0	0.757961	0	7	11629.5	15	27210.4
3 months	200-300%	Single-Family Attached	0.0198309	0.0810157	0.0184623	0.106032	0.0467503	0.0914407	0.636459	9.36607e-06	5	6137.32	61	143505
Never	200-300%	Single-Family Attached	0.00536654	0.00825089	0.000301235	0.00115442	0.00458279	0.0105138	0.969031	0.000798967	407	1.08214e+06	407	1.08214e+06
Year round	200-300%	Single-Family Attached	0	0.0465161	0.00422498	0.0287299	0	0.00136665	0.617474	0.301688	4	1356.39	31	76786.1
1 day	300-400%	Single-Family Attached	0.166533	0	0	0	0.166533	0.106373	0.546552	0.014008	5	8577.57	12	17559.2
1 month	300-400%	Single-Family Attached	0.0775488	0.0473428	0.0695034	0.111636	0.056509	0.0535184	0.581741	0.00220007	1	983.063	87	244460
1 week	300-400%	Single-Family Attached	0.109694	0.0312377	0.0440913	0.0361331	0.168194	0	0.610649	0	4	7299.07	76	207153
2 weeks	300-400%	Single-Family Attached	0.0631133	0.0398451	0.0741655	0.0390977	0.101249	0.0404093	0.637739	0.00438086	2	2876.91	56	132115
3 days	300-400%	Single-Family Attached	0.141617	0	0	0	0.100422	0	0.757961	0	8	15580.8	15	27210.4
3 months	300-400%	Single-Family Attached	0.0198309	0.0810157	0.0184623	0.106032	0.0467503	0.0914407	0.636459	9.36607e-06	1	4036.7	61	143505
Never	300-400%	Single-Family Attached	0.00126159	0	0	0	0.00126159	0.000108229	0.995458	0.0019106	346	922649	346	922649
Year round	300-400%	Single-Family Attached	0	0.0465161	0.00422498	0.0287299	0	0.00136665	0.617474	0.301688	2	3080.56	31	76786.1
1 day	400%+	Single-Family Attached	0.144503	0	0	0	0.0588841	0	0.796613	0	2	2184.31	30	130014
1 month	400%+	Single-Family Attached	0	0.103131	0.0471875	0.024156	0.0149795	0.0162347	0.786149	0.00816172	0	0	29	107359
1 week	400%+	Single-Family Attached	0.0232533	0.0195995	0.0687319	0.0372757	0.0876095	0.0220751	0.721255	0.0201998	3	13621.5	35	124732
2 weeks	400%+	Single-Family Attached	0	0	0.0265452	0	0.050118	0.0440387	0.866358	0.0129403	3	8386.3	31	112855
3 days	400%+	Single-Family Attached	0.0596197	0.0193665	0.0261617	0.0322775	0.0302566	0	0.812358	0.0199596	4	10399.5	40	126233
3 months	400%+	Single-Family Attached	0.0134816	0.0328356	0.0832382	0.0271444	0.0524261	0.0371004	0.751699	0.00207473	4	6145.49	26	95539.5
Never	400%+	Single-Family Attached	0.000464529	0	0	0.00174845	0.00184653	0.000163306	0.995762	1.49491e-05	898	3.21e+06	898	3.21e+06
Year round	400%+	Single-Family Attached	0	0	0.00945307	0	0	0.0201401	0.607322	0.363085	2	1155.27	18	45736.5
1 day	Not Available	Single-Family Attached	0.226676	0	0	0	0.0992536	0.0782944	0.565339	0.0304376	16	45924	16	45924
1 month	Not Available	Single-Family Attached	0.03467	0.0264492	0.0378457	0.0125386	0.0302512	0.0574508	0.796237	0.00455749	24	76196.8	24	76196.8
1 week	Not Available	Single-Family Attached	0.0430146	0	0.185623	0	0.340875	0	0.430488	0	16	64997.8	16	64997.8
2 weeks	Not Available	Single-Family Attached	0.0350115	0.0188997	0.070786	0.0314995	0.24789	0.0935028	0.490961	0.0114493	20	50551.2	20	50551.2
3 days	Not Available	Single-Family Attached	0.095732	0	0.102252	0	0.118888	0	0.683128	0	21	66573.5	21	66573.5
3 months	Not Available	Single-Family Attached	0.0552926	0.0512328	0.0619856	0.107047	0.0228314	0.0585107	0.625922	0.0171774	17	30912.4	17	30912.4
Never	Not Available	Single-Family Attached	0.00199125	0.00167194	0.00122797	0.00249263	0.00583085	0.00187133	0.984538	0.000376441	1670	7.10707e+06	1670	7.10707e+06
Year round	Not Available	Single-Family Attached	0.000277576	0.0158281	0.00335356	0.00977595	0.000277576	0.116536	0.491143	0.362808	7	8955.7	52	225662
1 day	0-100%	Single-Family Detached	0.207821	0	0	0	0.12381	0	0.668368	0	15	67059.7	15	67059.7
1 month	0-100%	Single-Family Detached	0.260771	0.150186	0.00974602	0.0469209	0.120444	0.00439325	0.406217	0.00132224	39	143280	39	143280
1 week	0-100%	Single-Family Detached	0.0722867	0.0431877	0.147986	0.183462	0.120665	0	0.432413	0	27	147244	27	147244
2 weeks	0-100%	Single-Family Detached	0.00918695	0.116635	0.187908	0.0462506	0.123637	0.0820618	0.41221	0.0221096	26	128531	26	128531
3 days	0-100%	Single-Family Detached	0.0942466	0	0.106233	0	0.407849	0	0.391671	0	33	139720	33	139720
3 months	0-100%	Single-Family Detached	0.0419382	0.0934857	0.0397494	0.00607447	0.0546584	0.214639	0.403787	0.145668	26	126522	26	126522
Never	0-100%	Single-Family Detached	0.0152067	0.00997682	0.0166974	0.0109519	0.0144608	0.00588969	0.921488	0.00532918	800	4.99469e+06	800	4.99469e+06
Year round	0-100%	Single-Family Detached	0.00062779	0	0	0	0.00062779	0.2481	0.35722	0.393425	8	36696.1	24	99775.7
1 day	100-150%	Single-Family Detached	0.250099	0	0.0825617	0	0.221629	0	0.445711	0	16	62042.9	16	62042.9
1 month	100-150%	Single-Family Detached	0.138326	0.0393669	0.0115614	0.110619	0.0427937	0.0111444	0.642636	0.00355297	38	130311	38	130311
1 week	100-150%	Single-Family Detached	0.0983456	0	0.0351366	0	0.302092	0	0.564426	0	27	83632.6	27	83632.6
2 weeks	100-150%	Single-Family Detached	0.0104187	0.00224936	0.0307777	0.0505654	0.155829	0	0.661302	0.088858	29	78157.3	29	78157.3
3 days	100-150%	Single-Family Detached	0.133317	0	0.0467683	0	0.402736	0	0.417179	0	32	104294	32	104294
3 months	100-150%	Single-Family Detached	0.0504066	0.0403837	0.0447978	0.168071	0.0504066	0.13879	0.505266	0.00187822	27	67103.5	27	67103.5
Never	100-150%	Single-Family Detached	0.0061405	0.00664805	0.00600405	0.00361606	0.0111996	0.00578416	0.956016	0.00459152	1029	4.55031e+06	1029	4.55031e+06
Year round	100-150%	Single-Family Detached	0.000993002	0	0	0	0.000993002	0.241405	0.437276	0.319333	8	35518.9	16	63079.6
1 day	150-200%	Single-Family Detached	0.317968	0	0	0.00320583	0.207567	0	0.471259	0	19	35728.3	19	35728.3
1 month	150-200%	Single-Family Detached	0	0.166601	0.0758559	0.0647388	0.069191	0.0416482	0.581906	5.90344e-05	28	75825.2	28	75825.2
1 week	150-200%	Single-Family Detached	0.0660604	0	0.0811431	0	0.0936514	0	0.759145	0	29	82801.7	29	82801.7
2 weeks	150-200%	Single-Family Detached	0.00869639	0.0264289	0.0864155	0.0746843	0.132011	0	0.671764	0	25	84332.6	25	84332.6
3 days	150-200%	Single-Family Detached	0.16737	0	0.0271631	0.000874681	0.231813	0	0.572779	0	41	130949	41	130949
3 months	150-200%	Single-Family Detached	0	0.0687833	0.0341873	0.0830279	0	0.338632	0.304185	0.171185	19	51505.1	19	51505.1
Never	150-200%	Single-Family Detached	0.00447609	0.00407383	0.0059755	0.00152566	0.00775708	0.00206341	0.970318	0.00381066	1322	5.38359e+06	1322	5.38359e+06
Year round	150-200%	Single-Family Detached	0.000993002	0	0	0	0.000993002	0.241405	0.437276	0.319333	8	27560.7	16	63079.6
1 day	200-300%	Single-Family Detached	0.133533	0.00672261	0.0488682	0.0437835	0.144113	0.000591055	0.62239	0	30	76805.8	30	76805.8
1 month	200-300%	Single-Family Detached	0.0617389	0.0556392	0.107214	0.112709	0.0584649	0.0492092	0.553719	0.00130606	47	145907	47	145907
1 week	200-300%	Single-Family Detached	0.146629	0.026841	0.0319983	0.0392243	0.232841	0	0.522466	0	45	135841	45	135841
2 weeks	200-300%	Single-Family Detached	0.0348575	0.0722189	0.142519	0.0347989	0.216896	0.0103393	0.48837	0	23	59191.1	23	59191.1
3 days	200-300%	Single-Family Detached	0.0902452	0.0013426	0.0133755	0.0168814	0.142521	0.0219717	0.702617	0.0110459	69	199203	69	199203
3 months	200-300%	Single-Family Detached	0.0329999	0.0608922	0	0.134779	0.0427668	0.0487232	0.679838	0	34	86237.6	34	86237.6
Never	200-300%	Single-Family Detached	0.00101167	0.000958036	0.00205363	0.0023968	0.0037797	0.000641836	0.988551	0.00060748	3046	1.14614e+07	3046	1.14614e+07
Year round	200-300%	Single-Family Detached	0	0.0179291	0	0	0	0.00230693	0.612082	0.367682	14	45298.6	14	45298.6
1 day	300-400%	Single-Family Detached	0.248115	0.0641916	0	0.04194	0.174629	0.00558142	0.465543	0	22	68499	22	68499
1 month	300-400%	Single-Family Detached	0.12135	0.0421429	0.016435	0.132281	0.0644442	0.0374088	0.585938	0	32	81989.6	32	81989.6
1 week	300-400%	Single-Family Detached	0.0468426	0.0471693	0.0696031	0.0360142	0.0433143	0	0.757056	0	23	59888.3	23	59888.3
2 weeks	300-400%	Single-Family Detached	0.101217	0.0159597	0.0164232	0.0500944	0	0	0.816306	0	24	61995.1	24	61995.1
3 days	300-400%	Single-Family Detached	0.108613	0.0244923	0	0.0244942	0.0920796	0	0.750321	0	34	117287	34	117287
3 months	300-400%	Single-Family Detached	0	0.111946	0.0562592	0.00603037	0.0641449	0.189344	0.572275	0	21	47093.2	21	47093.2
Never	300-400%	Single-Family Detached	0.00175024	0.000431142	0.00250447	0.00139322	0.00347893	0.00144857	0.987596	0.00139693	2888	1.03198e+07	2888	1.03198e+07
Year round	300-400%	Single-Family Detached	0	0.0748331	0.0119931	0	0	0	0.672521	0.240653	11	27050.5	11	27050.5
1 day	400%+	Single-Family Detached	0.146952	0	0	0	0.0598699	0	0.793178	0	28	127829	28	127829
1 month	400%+	Single-Family Detached	0	0.103131	0.0471875	0.024156	0.0149795	0.0162347	0.786149	0.00816172	29	107359	29	107359
1 week	400%+	Single-Family Detached	0.026104	0.0220023	0.077158	0.0418455	0.0983499	0.0247814	0.687083	0.0226762	32	111111	32	111111
2 weeks	400%+	Single-Family Detached	0	0	0.0159435	0	0.0159435	0.0475739	0.90656	0.0139791	28	104469	28	104469
3 days	400%+	Single-Family Detached	0.0569762	0.0211052	0.0285105	0.0351754	0.0329505	0	0.803531	0.0217516	36	115834	36	115834
3 months	400%+	Single-Family Detached	0.0144084	0.035093	0.0781783	0.0290105	0.0560302	0.035093	0.752187	0	22	89394	22	89394
Never	400%+	Single-Family Detached	0.00134717	0.000150466	0.00115864	0.000807368	0.00223806	0.000358878	0.993657	0.000282053	7004	3.66062e+07	7004	3.66062e+07
Year round	400%+	Single-Family Detached	0	0	0.00969803	0	0	0.0162158	0.603756	0.370331	16	44581.2	16	44581.2
1 day	Not Available	Single-Family Detached	0.198304	0.0112187	0.0202658	0.0144994	0.137346	0.000976604	0.617389	0	92	437965	92	437965
1 month	Not Available	Single-Family Detached	0.108587	0.0904472	0.0448559	0.0816896	0.0635378	0.025165	0.5832	0.00251758	149	684673	149	684673
1 week	Not Available	Single-Family Detached	0.0805175	0.0246162	0.0782177	0.0630895	0.154609	0.00443738	0.590453	0.00406042	127	620518	127	620518
2 weeks	Not Available	Single-Family Detached	0.021419	0.0438573	0.0870271	0.041342	0.103947	0.0312178	0.649421	0.0217681	103	516676	103	516676
3 days	Not Available	Single-Family Detached	0.106907	0.00691795	0.0362257	0.0129133	0.213494	0.00542165	0.612274	0.00584667	170	807287	170	807287
3 months	Not Available	Single-Family Detached	0.0274068	0.0678432	0.0415389	0.0658824	0.0470564	0.149975	0.541789	0.0585076	103	467856	103	467856
Never	Not Available	Single-Family Detached	0.00282289	0.001677	0.00320101	0.00205647	0.00444786	0.00139516	0.983039	0.00136026	11808	7.3316e+07	11808	7.3316e+07
Year round	Not Available	Single-Family Detached	0.000289047	0.0130889	0.00349215	0	0.000289047	0.118048	0.50057	0.364223	45	216706	45	216706
# Created by: sources\recs\recs2020\tsv_maker.py
# Description: Number of days in a year the heating system is unavailable
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: Where samples are less than 10, the data is aggregated in the following order until there are no rows with less than 10 samples: 
# Assumption: 1. The Federal Poverty Level dependency is aggregated every 100% 
# Assumption: 2. The Federal Poverty Level dependency is aggregated every 200% 
# Assumption: 3. The Geometry Building Type RECS dependency is aggregated into SF, MF, and MH bins. 
# Assumption: 4. The Cooling Unavailable Days dependency is aggregated into Days, Weeks, Month, and All Year bins. 
# Assumption: 5. The Cooling Unavailable Days dependancy is removed.